,dot_results_img_to_mask_aslist_neutSPM_neutpy,files,masks
0,214620861.58779973,beta_map_APM_02_H2_HYPER_HYPO_Neut_shocks.nii,APM02_NSHOCKS_con099.hdr
1,-18846286.244067233,beta_map_APM_03_H1_HYPER_HYPO_Neut_shocks.nii,APM03_NSHOCKS_con099.hdr
2,-39518503.44451763,beta_map_APM_05_H2_HYPER_HYPO_Neut_shocks.nii,APM05_NSHOCKS_con089.hdr
3,13675617.920503318,beta_map_APM_06_H2_HYPER_HYPO_Neut_shocks.nii,APM06_NSHOCKS_con099.hdr
4,34739477.87529594,beta_map_APM_07_H1_HYPO_HYPER_Neut_shocks.nii,APM07_NSHOCKS_con099.hdr
5,-433708795.5790497,beta_map_APM_09_H1_HYPER_HYPO_Neut_shocks.nii,APM09_NSHOCKS_con099.hdr
6,62828363.14926478,beta_map_APM_12_H2_HYPER_HYPO_Neut_shocks.nii,APM12_NSHOCKS_con099.hdr
7,629887861.7506809,beta_map_APM_16_H1_hyper_hypo_Neut_shocks.nii,APM16_NSHOCKS_con099.hdr
8,73248165.93443629,beta_map_APM_17_H2_HYPO_HYPER_Neut_shocks.nii,APM17_NSHOCKS_con099.hdr
9,-374759845.659014,beta_map_APM_20_H2_HYPO_HYPER_Neut_shocks.nii,APM20_NSHOCKS_con099.hdr
10,112156938.47625999,beta_map_APM_22_H2_HYPO_HYPER_Neut_shocks.nii,APM22_NSHOCKS_con099.hdr
11,153865601.929769,beta_map_APM_26_H1_HYPO_HYPER_Neut_shocks.nii,APM26_NSHOCKS_con099.hdr
12,281341164.2139301,beta_map_APM_27_H2_HYPER_HYPO_Neut_shocks.nii,APM27_NSHOCKS_con099.hdr
13,241610211.32440925,beta_map_APM_28_H1_HYPO_HYPER_Neut_shocks.nii,APM28_NSHOCKS_con099.hdr
14,38183009.44357118,beta_map_APM_29_H1_HYPER_HYPO_Neut_shocks.nii,APM29_NSHOCKS_con099.hdr
15,219329154.42731196,beta_map_APM_33_H1_HYPO_HYPER_Neut_shocks.nii,APM33_NSHOCKS_con099.hdr
16,137373785.75407428,beta_map_APM_36_H1_HYPO_HYPER_Neut_shocks.nii,APM36_NSHOCKS_con099.hdr
17,-153710348.98630524,beta_map_APM_37_H2_HYPO_HYPER_Neut_shocks.nii,APM37_NSHOCKS_con099.hdr
18,180679799.23336962,beta_map_APM_38_H1_hyper_hypo_Neut_shocks.nii,APM38_NSHOCKS_con099.hdr
19,-3739058.4671287183,beta_map_APM_40_H1_HYPO_HYPER_Neut_shocks.nii,APM40_NSHOCKS_con099.hdr
20,-59940365.319261834,beta_map_APM_41_H2_HYPER_HYPO_Neut_shocks.nii,APM41_NSHOCKS_con099.hdr
21,1731536.4655864611,beta_map_APM_42_H2_HYPO_HYPER_Neut_shocks.nii,APM42_NSHOCKS_con099.hdr
22,-2738458546.8070474,beta_map_APM_43_H2_HYPER_HYPO_Neut_shocks.nii,APM43_NSHOCKS_con099.hdr
23,261081033.00338235,beta_map_APM_47_H2_HYPO_HYPER_Neut_shocks.nii,APM47_NSHOCKS_con099.hdr
